CARRIER	ROUTE	TRANSIT_DAYS	DAILY_CUTOFF_LOCAL_HOUR	SERVICE_LEVEL
BlueDart	IN-BLR>IN-DEL	4	15	STD
BlueDart	IN-BLR>IN-HYD	2	15	EXP
BlueDart	IN-BLR>IN-MAA	4	18	EXP
BlueDart	IN-BLR>IN-MAA	2	18	EXP
Delhivery	IN-BLR>IN-MAA	2	15	EXP
Ekart	IN-BLR>IN-MAA	4	18	EXP
Ekart	IN-BLR>IN-HYD	3	18	EXP
Ekart	IN-BLR>IN-HYD	3	15	EXP
Delhivery	IN-BLR>IN-HYD	2	15	EXP
BlueDart	IN-BLR>IN-MAA	3	18	STD
Delhivery	IN-BLR>IN-DEL	2	15	EXP
Ekart	IN-BLR>IN-MAA	3	18	STD
BlueDart	IN-BLR>IN-DEL	3	15	EXP
BlueDart	IN-BLR>IN-DEL	3	18	EXP
BlueDart	IN-BLR>IN-HYD	2	18	EXP
Delhivery	IN-BLR>IN-MAA	2	15	EXP
Delhivery	IN-BLR>IN-HYD	3	15	STD
Ekart	IN-BLR>IN-HYD	4	18	EXP
BlueDart	IN-BLR>IN-DEL	2	18	EXP
BlueDart	IN-BLR>IN-HYD	2	18	STD
Ekart	IN-BLR>IN-HYD	3	18	STD
Ekart	IN-BLR>IN-DEL	4	18	STD
Delhivery	IN-BLR>IN-DEL	3	18	STD
Ekart	IN-BLR>IN-MAA	2	15	STD
Delhivery	IN-BLR>IN-DEL	2	18	STD
Ekart	IN-BLR>IN-MAA	3	18	STD
Delhivery	IN-BLR>IN-HYD	3	15	EXP
Ekart	IN-BLR>IN-MAA	2	18	EXP
Delhivery	IN-BLR>IN-MAA	4	18	EXP
Ekart	IN-BLR>IN-HYD	4	18	EXP
